Interactor A,Interactor B
NP_013376,NP_009761
NP_009761,NP_013376
NP_013376,NP_010882
NP_010882,NP_013376
NP_009761,NP_013204
NP_009761,NP_010882
NP_010882,NP_009761
NP_013376,NP_009761
NP_013376,NP_010882
NP_009761,NP_010882
NP_009761,NP_013376
NP_013376,NP_010882
NP_010882,NP_013376
NP_001073315,NP_001562
NP_001562,NP_001073315
NP_663777,NP_065797
NP_065797,NP_001288667
NP_663777,NP_001288667
NP_663777,NP_037386
NP_001288667,NP_037386
NP_001288667,NP_001562
NP_001372842,NP_005073
NP_001372842,NP_005073
NP_056251,NP_001308519
NP_001139547,NP_003698
NP_001139547,NP_006657
NP_001139547,NP_612467
NP_001139547,NP_001239570
NP_001139547,NP_110442
NP_001139547,NP_001252524
NP_001139547,NP_036526
NP_001139547,NP_004173
NP_001139547,NP_001303253
NP_001239570,NP_004173
NP_001239570,NP_001252524
NP_001239570,NP_001303253
NP_001239570,NP_110442
NP_001239570,NP_036526
NP_001239570,NP_612467
NP_001239570,NP_060386
NP_001239570,NP_003698
NP_001239570,NP_006657
NP_001239570,NP_001139547
NP_001008709,NP_001303253
NP_001008709,NP_003698
NP_001008709,NP_110442
NP_001008709,NP_036526
NP_001008709,NP_001252524
NP_001008709,NP_060386
NP_001008709,NP_612467
NP_001008709,NP_001239570
NP_060386,NP_110442
NP_060386,NP_036526
NP_060386,NP_001252524
NP_060386,NP_001303253
NP_060386,NP_001139547
NP_060386,NP_003698
NP_060386,NP_006657
NP_060386,NP_001239570
NP_060386,NP_004173
NP_060386,NP_612467
NP_004173,NP_110442
NP_004173,NP_036526
NP_004173,NP_001252524
NP_004173,NP_060386
NP_004173,NP_001303253
NP_004173,NP_001139547
NP_004173,NP_003698
NP_004173,NP_006657
NP_004173,NP_001239570
NP_004173,NP_612467
NP_004611,NP_660183
NP_001073315,NP_001364195
YP_009724392,NP_001258698
YP_009724392,NP_001317313
YP_009724392,NP_001186384
YP_009724392,NP_001284574
YP_009724392,NP_653205
YP_009724392,NP_001350540
YP_009724393,NP_004270
YP_009724393,NP_065203
YP_009724393,NP_001668
YP_009724393,NP_001272971
YP_009724393,NP_001121188
YP_009724393,NP_004090
YP_009724393,NP_001135741
YP_009724393,NP_001681
YP_009724393,NP_002803
YP_009724393,NP_005660
YP_009724393,NP_001269875
YP_009724393,NP_001136150
YP_009724393,NP_055704
YP_009724393,NP_006336
YP_009724393,NP_068598
YP_009724393,NP_598003
YP_009724393,NP_001273208
YP_009724393,NP_001136027
YP_009724393,NP_612430
YP_009724393,NP_612402
YP_009724393,NP_291025
YP_009724393,NP_001164641
YP_009724393,NP_001243546
YP_009724393,NP_079426
YP_009724393,NP_001308792
YP_009724393,NP_057339
YP_009724393,NP_005754
YP_009724393,NP_001278407
YP_009724393,NP_056326
YP_009724393,NP_001349646
YP_009724397,NP_004695
YP_009724397,NP_002559
YP_009724397,NP_001887
YP_009724397,NP_001269314
YP_009724397,NP_005745
YP_009724397,NP_003810
YP_009724397,NP_001354642
YP_009724397,NP_056290
YP_009724397,NP_078976
YP_009724397,NP_002902
YP_009724397,NP_001273001
YP_009724397,NP_036429
YP_009724397,NP_004719
YP_009724397,NP_060547
YP_009724397,NP_056229
YP_009724390,NP_057183
YP_009724390,NP_056272
YP_009725297,NP_001317289
YP_009725297,NP_000937
YP_009725297,NP_000938
YP_009725297,NP_002680
YP_009725297,NP_078932
YP_009725297,NP_004563
YP_009725306,NP_036437
YP_009725306,NP_005253
YP_009725306,NP_001026881
YP_009725306,NP_001020376
YP_009725306,NP_079472
YP_009725307,NP_060653
YP_009725307,NP_005872
YP_009725307,NP_005849
YP_009725307,NP_055872
YP_009725307,NP_006416
YP_009725307,NP_003795
YP_009725307,NP_001274744
YP_009725307,NP_001035363
YP_009725307,NP_057568
YP_009725307,NP_037450
YP_009725307,NP_060919
YP_009725307,NP_055160
YP_009725307,NP_073606
YP_009725307,NP_689799
YP_009725307,NP_054872
YP_009725307,NP_055970
YP_009725307,NP_001164551
YP_009725307,NP_001309093
YP_009725307,NP_115861
YP_009725307,NP_001372895
YP_009725308,NP_055541
YP_009725308,NP_009105
YP_009725308,NP_001528
YP_009725308,NP_001302458
YP_009725308,NP_001265619
YP_009725308,NP_004148
YP_009725308,NP_001291278
YP_009725308,NP_002727
YP_009725308,NP_002897
YP_009725308,NP_057427
YP_009725308,NP_005068
YP_009725308,NP_001269908
YP_009725308,NP_945321
YP_009725308,NP_001166028
YP_009725308,NP_001353173
YP_009725308,NP_004478
YP_009725308,NP_064522
YP_009725308,NP_055625
YP_009725308,NP_055459
YP_009725308,NP_079285
YP_009725308,NP_055962
YP_009725308,NP_001317691
YP_009725308,NP_829883
YP_009725308,NP_852118
