Interactor A,Interactor B
NP_001138468.1,NP_001034612.1
NP_060120.2,NP_001605.1
NP_002718.2,NP_000601.3
NP_005301.2,NP_004439.2
AAC24716.1,NP_004439.2
NP_001356.1,NP_004439.2
NP_005018.1,NP_004439.2
NP_055184.2,NP_004439.2
AAK69431.1,NP_004439.2
NP_073576.1,NP_001025226.1
NP_000259.1,NP_004439.2
NP_002222.1,NP_004439.2
NP_061821.1,NP_004439.2
NP_002414.1,NP_000601.3
NP_005740.1,NP_004439.2
NP_060876.5,NP_004439.2
NP_036539.1,NP_004439.2
NP_073576.1,NP_006463.3
NP_009135.4,NP_001138784.1
NP_005068.2,NP_005240.3
NP_005069.2,NP_005240.3
NP_004955.2,NP_005240.3
NP_005891.1,NP_005240.3
NP_006609.3,NP_005240.3
NP_000607.1,NP_000601.3
NP_073576.1,NP_001334.2
NP_005179.2,NP_005419.2
NP_002651.2,NP_005419.2
NP_000940.1,NP_005419.2
NP_003322.3,NP_005419.2
NP_073576.1,NP_005128.1
NP_002736.3,NP_005419.2
NP_005419.2,NP_001656.2
NP_005334.1,NP_005419.2
NP_000052.1,NP_005419.2
NP_004603.1,NP_000601.3
NP_003168.2,NP_005419.2
NP_003019.2,NP_005419.2
NP_006248.1,NP_005419.2
NP_003206.2,NP_005419.2
NP_002175.2,NP_005419.2
NP_002131.2,NP_005419.2
NP_006739.2,NP_005419.2
NP_004094.3,NP_005419.2
NP_004447.2,NP_005419.2
NP_005556.1,NP_005419.2
NP_001020018.1,NP_000601.3
NP_003452.1,NP_005419.2
NP_003014.3,NP_005419.2
NP_005058.3,NP_005419.2
NP_001014989.2,NP_005419.2
NP_001166.3,NP_005419.2
NP_003736.1,NP_005419.2
NP_003725.1,NP_005419.2
NP_002489.1,NP_005419.2
NP_733762.2,NP_005419.2
NP_037446.1,NP_005419.2
NP_001127870.1,NP_000601.3
NP_037409.2,NP_005419.2
NP_060910.3,NP_005419.2
NP_004937.1,NP_005419.2
NP_073576.1,NP_115558.3
NP_073576.1,NP_073572.2
NP_000433.3,NP_005424.1
NP_000063.2,NP_005424.1
NP_006004.2,NP_005424.1
NP_002438.2,NP_005424.1
NP_005226.1,NP_000601.3
NP_006284.2,NP_005424.1
NP_003465.3,NP_005424.1
NP_004637.1,NP_005424.1
NP_002529.1,NP_005424.1
NP_001356.1,NP_005424.1
NP_036252.1,NP_005424.1
NP_067638.3,NP_005424.1
NP_073576.1,NP_009096.2
BAB12247.1,NP_005424.1
NP_001026855.2,NP_005424.1
NP_003244.2,NP_000601.3
NP_612482.2,NP_002899.1
NP_758961.1,NP_002899.1
NP_073576.1,NP_003492.2
NP_073576.1,NP_060080.6
NP_060014.2,NP_002899.1
NP_003185.1,NP_002899.1
NP_073576.1,NP_699176.1
NP_073576.1,NP_006753.1
NP_620637.1,NP_002899.1
NP_073576.1,NP_003080.2
NP_004398.1,NP_000601.3
NP_002711.1,NP_002899.1
NP_705618.1,NP_004790.2
NP_001123541.1,NP_004790.2
NP_005230.1,NP_004790.2
NP_005895.1,NP_001013768.1
NP_005895.1,NP_054874.3
NP_005895.1,NP_003585.3
NP_006588.1,NP_002899.1
NP_005895.1,NP_002469.2
NP_001505.1,NP_002899.1
NP_945353.1,NP_000601.3
NP_005895.1,NP_008871.3
NP_005895.1,NP_060959.2
NP_005895.1,NP_055230.2
NP_002899.1,NP_008819.1
NP_005895.1,AAC83687.1
NP_002341.1,NP_000213.1
NP_852664.1,NP_000213.1
NP_002651.2,NP_000213.1
NP_002825.3,NP_000213.1
NP_037400.1,NP_001605.1
NP_000259.1,NP_000601.3
NP_536859.1,NP_000213.1
NP_002728.1,NP_000213.1
NP_000890.1,NP_000213.1
NP_005408.1,NP_000213.1
NP_002369.2,NP_000213.1
NP_000213.1,NP_009330.1
NP_109592.1,NP_000213.1
NP_003206.2,NP_000213.1
NP_005301.2,NP_000213.1
NP_005302.3,NP_000213.1
NP_000560.5,NP_001766.2
NP_005198.1,NP_000213.1
NP_001372.1,NP_000213.1
NP_005018.1,NP_000213.1
NP_003736.1,NP_000213.1
NP_006604.1,NP_000213.1
NP_004801.1,NP_000213.1
NP_005466.1,NP_000213.1
NP_004347.1,NP_000213.1
NP_003820.2,NP_000213.1
NP_689807.1,NP_000213.1
NP_005347.3,NP_001766.2
NP_036240.1,NP_000213.1
NP_066189.3,NP_000213.1
NP_861449.2,NP_000213.1
NP_005179.2,NP_005239.1
NP_005239.1,NP_005408.1
NP_000368.1,NP_005239.1
NP_037362.1,NP_005239.1
NP_003168.2,NP_005239.1
NP_005598.3,NP_005239.1
NP_000433.3,NP_001766.2
NP_001334.2,NP_005239.1
NP_001828.1,NP_005239.1
NP_005239.1,NP_005326.2
NP_003028.1,NP_005239.1
NP_001017915.1,NP_005239.1
NP_006815.2,NP_005238.1
NP_061947.1,NP_004548.3
NP_055572.1,NP_004548.3
NP_361014.1,NP_004548.3
NP_000198.1,NP_002505.1
NP_000607.1,NP_001766.2
NP_060087.3,NP_002505.1
NP_005609.3,NP_002505.1
NP_002952.1,NP_002505.1
NP_765975.1,NP_002639.1
NP_109592.1,NP_002639.1
AAP88787.1,NP_002639.1
NP_057671.2,NP_002639.1
NP_006798.1,NP_002639.1
NP_003459.2,NP_003383.2
NP_001728.1,NP_000602.1
NP_004551.2,NP_003383.2
NP_003496.1,NP_003383.2
NP_536859.1,NP_002935.2
NP_009297.2,NP_002935.2
NP_006104.4,NP_002935.2
NP_001485.2,NP_005361.2
NP_068815.2,NP_005361.2
NP_004570.2,NP_005361.2
NP_008918.1,NP_005361.2
