Interactor 1 Gene symbol,Interactor 1 HPRD id,Interactor 1 RefSeq id,Interactor 2 Gene symbol,Interactor 2 HPRD id,Interactor 2 RefSeq id,"Experiment type (in vivo, in vitro and yeast 2-hybrid)"
ALDH1A1,00001,NP_000680.2,ALDH1A1,00001,NP_000680.2,in vivo;yeast 2-hybrid
ITGA7,02761,NP_001138468.1,CHRNA1,00007,NP_001034612.1,in vivo
PPP1R9A,16000,NP_060120.2,ACTG1,00017,NP_001605.1,in vitro;in vivo
SRGN,01513,NP_002718.2,CD44,00115,NP_000601.3,in vivo
GRB7,03311,NP_005301.2,ERBB2,01281,NP_004439.2,in vitro;in vivo
PAK1,03995,AAC24716.1,ERBB2,01281,NP_004439.2,in vivo
DLG4,04199,NP_001356.1,ERBB2,01281,NP_004439.2,in vivo;yeast 2-hybrid
PIK3R2,04404,NP_005018.1,ERBB2,01281,NP_004439.2,in vivo
PTPN18,05961,NP_055184.2,ERBB2,01281,NP_004439.2,in vitro
ERBB2IP,06090,AAK69431.1,ERBB2,01281,NP_004439.2,in vitro;in vivo
SMURF2,06901,NP_073576.1,ARHGAP5,04060,NP_001025226.1,yeast 2-hybrid
NF2,06980,NP_000259.1,ERBB2,01281,NP_004439.2,in vitro;in vivo
CD82,09004,NP_002222.1,ERBB2,01281,NP_004439.2,in vivo
ERRFI1,09218,NP_061821.1,ERBB2,01281,NP_004439.2,in vitro;yeast 2-hybrid
MMP7,01525,NP_002414.1,CD44,00115,NP_000601.3,in vitro;in vivo
TOB1,09273,NP_005740.1,ERBB2,01281,NP_004439.2,in vitro;in vivo
MUC4,11829,NP_060876.5,ERBB2,01281,NP_004439.2,in vivo
PICK1,16176,NP_036539.1,ERBB2,01281,NP_004439.2,in vitro;in vivo;yeast 2-hybrid
SMURF2,06901,NP_073576.1,TXNIP,05964,NP_006463.3,yeast 2-hybrid
DDX20,05859,NP_009135.4,ETV3,01282,NP_001138784.1,in vitro
TLE1,02557,NP_005068.2,FOXG1,01283,NP_005240.3,in vivo
TLE3,02558,NP_005069.2,FOXG1,01283,NP_005240.3,in vivo
HDAC1,03143,NP_004955.2,FOXG1,01283,NP_005240.3,in vitro;in vivo
SMAD1,03356,NP_005891.1,FOXG1,01283,NP_005240.3,in vivo
KDM5B,09251,NP_006609.3,FOXG1,01283,NP_005240.3,in vivo;yeast 2-hybrid
CD4,01740,NP_000607.1,CD44,00115,NP_000601.3,in vitro
SMURF2,06901,NP_073576.1,DAB2,03139,NP_001334.2,yeast 2-hybrid
CBL,01320,NP_005179.2,VAV1,01284,NP_005419.2,in vitro;in vivo
PLCG1,01398,NP_002651.2,VAV1,01284,NP_005419.2,in vitro;in vivo
PRLR,01457,NP_000940.1,VAV1,01284,NP_005419.2,in vivo
TYK2,01490,NP_003322.3,VAV1,01284,NP_005419.2,in vivo
SMURF2,06901,NP_073576.1,DGCR2,08999,NP_005128.1,yeast 2-hybrid
MAPK1,01496,NP_002736.3,VAV1,01284,NP_005419.2,in vivo
VAV1,01284,NP_005419.2,RHOG,01537,NP_001656.2,in vitro
HRAS,01813,NP_005334.1,VAV1,01284,NP_005419.2,in vivo
